Flash Card Data

============================================
The process:
1. English word followed by a comma
2. hiragana word; then carriage return
3. upload into Quzlet
4. update each item and add (kanji) to defn side.
5. Back-record the kanji to the this CSV data sheet
6. Save all the things
============================================
---> Kanji Set 1.x
一,いち
serious; dreadful; terrible; big,たいへん　（大変）
sometime; someday,いつか
next time; another time,こんど　（今度）
passport,パスポート
lighter,ライター
nursery school,ほいくえん　（保育園）
nursery school student,ほいくえんじ　（保育園児）
kindergarten school,ようちえん　（幼稚園）
kindergarten student,ようちえんじ　（幼稚園児）
elementary school,しょうがっこう　（小学校）
elementary school student,しょうがっくせい　（小学生）
junior high school,ちゅうがっこう　（中学校）
junior high school student,ちゅうがくせい　（中学生）
high school,こうこう　（高校）
high school student,こうこうせい　（高校生）
university,だいがく　（大学）
university student,だいがくせい　（大学生）
graduate school,だいがくいん　（大学院）
graduate school student,だいがくいんせい　（大学院生）
prep school,よびこう　（予備校）
prep school student,よびこうせい　（予備校生）
sound,おと　（音）
music,おんがく　（音楽）
voice,こえ　（声）
cry (e.g. baby; animal),なきごえ　（泣き声）
to decide,きめる　（決める）
to put (on lower body; pants; socks; shoes),はく・はきます　（履く）
to think,おもう　（思う）
to need,いる・いちます　（要る）
to be seen,みえる　（見える）
to be heard; to hear,きこえる　（聞こえる）
to be open,あく・あきます　（開く）
to be shut; to be closed,しまる・しまります　（閉まる）
to be on (electrical),つく　（点く）
to be off (electrical),きえる　（消える）


L1 vocabulary - (Kanji - Hiragana)
=============================================
重い,heavy （おもい)
軽い,light （かるい)
危ない,dangerous （あぶない)
忙しい,busy （いそがしい)
悲しい,sad （かなし)
嬉しい,happy （うれしい)
楽しい,enjoyable （たのしい)
寂しい,lonely （さびしい)
痛い,painful （いたい)
暇,free time （ひま)
大変,serious; dreadful; terrible; big （たいへん)
いつか, sometime; someday
今度,next time; another time （こんど)
パスポート,sometime; someday
ライター,lighter
保育園,nursery school （ほいくえん)
保育園児,nursery school student （ほいくえんじ)
幼稚園,kindergarten school （ようちえん)
幼稚園児,kindergarten student （ようちえんじ)
小学校,elementary school （しょうがっこう)
小学生,elementary school student （しょうがっくせい)
中学校,junior high school （ちゅうがっこう)
中学生,junior high school student （ちゅうがくせい)
高校,high school （こうこう)
高校生,high school student （こうこうせい)
大学,university （だいがく)
大学生,university student （だいがくせい)
大学院,graduate school （だいがくいん)
大学院生,graduate school student （だいがくいんせい)
予備校,prep school （よびこう)
予備校生,prep school student （よびこうせい)
音,sound （おと)
音楽,music （おんがく)
声,voice （こえ)
泣き声,cry (e.g. baby; animal) （なきごえ)
決める,to decide （きめる)
履く,to put (on lower body; pants; socks; shoes) （はく・はきます)
思う,to think （おもう)
要る,to need （いる・いちます)
見える,to be seen （みえる)
聞こえる,to be heard; to hear （きこえる)
開く,to be open （あく・あきます)
閉まる,to be shut; to be closed （しまる・しまります)
点く,to be on (electrical) （つく)
消える,to be off (electrical) （きえる)


========================================================================================
TO-DO: =================================================================================
========================================================================================

L2 vocabulary - (English - Japanese)
=============================================
an N-storey building​、かいだて　（階建て）
first floor; ground floor、いっかい　（１階）
what floor?、なんかい　（何階）
apartment building、アパート
condominium; apartment building、マンション
basement; cellar; underground place、ちか　（地下）
rooftop​、おくじょう　（屋上）
stairs; stairway; staircase、かいだん　（階段）
emergency exit、ひじょうぐち　（非常口）
building、たてもの　（建物）
pattern; design、がら　（柄）
price; cost、ねだん　（値段）
size、サイズ
moustache; beard; whiskers、ひげ　（髭）
Japanese bar、いざかや　（居酒屋）
guest; customer; spectator; tourist; passenger​;、おきゃくさん　（お客さん）
drunkard、よっぱらい　（酔っ払い）
menu、メニュー
draft beer、なまビール　（生ビール）
large-size mug、だいじゅっき　（大ジョッキ）
medium beer mug、ちゅうジョッキ　（中ジョッキ）
table​、テーブル
tatami room、おざしき　（お座敷）
zabuton、ざぶとん　（座布団）
tatami mat、たたみ　（畳）
、でんびょう　（）
(cash) register​、レジ
receipt; cash-register slip、レシート
hand-written receipt、りょうしゅうしょ　（領収書）
neighborhood、きんじょ　（近所）
karaoke、カラオケ　（空オケ）
concert; recital、おんがくかい　（音楽会）
song​、うた　（歌）
piano、ピアノ
near、ちか　（近く）
far away; distant、とお　（遠く）
toilet; restroom、トイレ
toilet; restroom、おてあらい　（お手洗い
toilet; restroom、けしょうしつ　（化粧室）
for use by women、じょせいよう　（女性用）
for use by men、だんせいよう　（男性用）
for use by adults; for adults、おとなよう　（大人用）




=============================================
---> Kanji Set 2.x
私,わたし (I)
学生,がくせい (student)
何,が ([particle])
大学,だいがく　(university; college)
先生,せんせい (teacher)
学校,がっこう (school)
駅,えき (station)
家,いえ (house)
銀行,ぎんこう (bank)
病気,びょうき (illness/disease)
病院,びょういん (hospital)
教,おし
教室,きょうしつ (classroom)
電話,でんわ (telephone)
百円,ひゃくえん (100 yen)
千円,せんえん (1000 yen)
国,くに (country)
外国,がいこく (foreign country)
国内、こくない　(internal; domestic)
朝,あさ (morning)
昼,ひる (noon)
晩,ばん
夜,よる (night)
年,ねん (age;years old)
今日,きょう (today)
明日,あした (tomorrow)
昨日,きのう (yesterday)
去年,きょねん (last year)
毎日,まいにち (everyday)
今週,こんしゅう
五分,ごふん (5 minutes)
午前,ごぜん (a.m.)
前,まえ (before/front)
後,あと (after/later)
後ろ,うしろ (behind/back)
午後,ごご (afternoon)
後半,こうはん (the last half)
半ば,なか (half/middle)
五時半,ごじはん (half past five)
飲,の
着,き
買,か
見,み
聞,き
読,よ
話,はな
待,ま
会,あ
休,や
作,つく
帰,かえ
知,し
住,す
思,おむ


---> Kanji Set 2.1 - p43
=============================================
私,わたし (I)
市立,しりつ (private)
何,なに (what)
何,が ([particle])
学ぶ,まなぶ (to study)
学生,がくせい (student)
先,さき (ahead)
先生,せんせい (teacher)
学校,がっこう (school)
駅,えき (station)
家,いえ (house)
家族,かぞく (family)
銀行,ぎんこう (bank)
病,やまい (illness/disease)
病気,びょうき (illness/disease)
病院,びょういん (hospital)
教える,おしえる (to teach)
教室,きょうしつ (classroom)
〜室,〜しつ (~room)
電話,でんわ (telephone)
百円,ひゃくえん (100 yen)
国,くに (country)
母国,ぼこく (one's homeland mother country)
外,そと (outside)
外国,がいこく (foreign country)
内,うち (inside)
案内する,あんない (to guide/to show)


---> Kanji Set 2.2 - p45
=============================================
朝,あさ (morning)
朝食,ちょうしょく (breakfast)
昼,ひる (noon)
昼食,ちゅうしょく (lunch)
晩ごはん,ばんごはん (dinner)
夜,よる (night)
今夜,こんや (tonight)
年,とし (age)
来年,らいねん (next year)
今,いま (now)
今日,きょう (today)
今月,こんげつ (this month)
今年,ことし (this year)
明るい,あかるい (bright)
明日,あした (tomorrow)
文明,ぶんめい (civilization)
昨日,きのう (yesterday)
昨年,さくねん (last year)
去る,さる (to leave)
去年,きょねん (last year)
過去,かこ (past)
毎日,まいにち (everyday)
先週,せんしゅう (last week)
分かる,わかる (to understand)
分ける,わける (to divide)
五分,ごふん (5 minutes)
六分,ろっぷん (6 minutes)
午前,ごぜん (a.m.)
前,まえ (before/front)
